symbols,brain > body (default),brain >= body,brain non-zero
CTNS,0,0,1
CTNNB1,0,0,1
CTNND1,0,0,1
CTNND2,1,1,1
CTPS1,0,0,1
CTRB1,0,1,1
CTRL,0,1,1
CTSB,0,0,1
CTSD,0,0,1
CTSE,0,0,0
CTSG,0,0,1
CTSH,0,0,1
CTSK,0,0,1
CTSL,0,0,1
CTSV,0,1,1
CTSO,0,0,1
CTSS,0,0,1
CTSW,0,0,1
CTSZ,0,0,1
CUX1,0,1,1
CX3CR1,1,1,1
CXADR,0,1,1
TEX28,0,0,0
CYB5A,0,0,1
CYB561,0,1,1
CYBA,0,0,1
CYBB,0,0,1
CYC1,0,0,1
CYLC1,0,0,0
CYLC2,0,0,0
CYLD,0,1,1
CYP1A1,0,0,1
CYP1A2,0,0,0
CYP1B1,0,0,1
CYP2A6,0,1,1
CYP2A7,0,1,1
CYP3A7,0,0,0
CYP2A13,0,0,0
CYP2B6,0,0,0
AC008537.3,0,0,1
CYP2C19,0,0,0
CYP2C8,0,1,1
CYP2C9,0,0,0
CYP2C18,0,1,1
CYP2D7,0,1,1
CYP2D6,0,1,1
CYP2E1,0,1,1
CYP2F1,0,0,0
CYP2J2,1,1,1
CYP3A4,0,1,1
CYP3A5,0,0,1
CYP4A11,0,1,1
CYP4B1,0,0,1
CYP7A1,0,1,1
CYP8B1,0,1,1
CYP11A1,0,1,1
CYP11B1,0,1,1
CYP11B2,0,0,0
CYP17A1,0,1,1
CYP19A1,0,0,1
CYP21A2,0,1,1
CYP24A1,0,1,1
CYP26A1,0,1,1
CYP27A1,0,1,1
CYP27B1,0,0,1
CYP51A1,0,1,1
DAB1,1,1,1
DAB2,0,0,1
DACH1,0,1,1
DAD1,0,0,1
CD55,0,0,1
DAG1,0,0,1
DGKA,0,0,1
DGKB,1,1,1
DGKG,1,1,1
DGKQ,0,1,1
DAO,1,1,1
DAP,0,0,1
DAPK1,0,1,1
DAPK3,0,0,1
DARS,0,0,1
DAXX,0,0,1
DAZ1,0,0,0
DAZL,0,0,0
BRINP1,1,1,1
DBH,0,1,1
DBI,0,1,1
DBN1,0,1,1
DBP,1,1,1
DBT,0,0,1
DCC,1,1,1
ECI1,0,0,1
DCK,0,1,1
DCN,0,0,1
DCTD,0,0,1
ACE,0,0,1
DCT,0,1,1
DCTN1,1,1,1
DCX,1,1,1
DDB1,0,0,1
DDB2,0,0,1
DDC,0,1,1
AKR1C1,0,0,1
AKR1C2,0,0,1
GADD45A,0,0,1
DDIT3,0,1,1
DDOST,0,0,1
DDT,0,0,1
DDX1,0,1,1
DDX3X,0,0,1
DDX5,0,0,1
DDX6,0,1,1
DMXL1,0,0,1
DHX8,0,0,1
DHX9,0,0,1
DDX10,0,0,1
DDX11,0,0,1
DHX15,0,0,1
DECR1,0,0,1
DEFA1,0,0,0
DEFA3,0,1,1
DEFA4,0,0,0
DEFA5,0,0,0
DEFA6,0,0,0
DEFB1,0,0,1
DEFB4A,0,0,0
DES,0,0,1
CFD,0,0,1
DFFA,0,1,1
DFFB,0,1,1
TIMM8A,0,0,1
GSDME,0,1,1
COCH,0,1,1
DGUOK,0,1,1
DHCR7,0,1,1
DHCR24,0,1,1
